Grade,E_title,E_country,E_province,E_region_1,E_region_2,E_winery,E_FE_vintage,E_wine_variety,E_FE_wine_kind,FE_continent,E_price,FE_points_location,FE_points_variety,FE_points_winery
Fail,Felix Lavaque 2010 Felix Malbec (Cafayate),Argentina,Other,Cafayate,-,Felix Lavaque,2010,Malbec,sparkling,1,30.0,86.0,88.0,87.0
Fail,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),Argentina,Mendoza Province,Mendoza,-,Gaucho Andino,2011,Malbec,sparkling,1,13.0,86.0,88.0,84.0
Fail,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),Spain,Northern Spain,Ribera del Duero,-,Pradorey,2010,Tempranillo,red,0,28.0,88.0,88.0,87.0
Fail,Quiévremont 2012 Meritage (Virginia),US,Virginia,Virginia,-,Quiévremont,2012,Meritage,red,1,32.0,86.0,88.0,87.0
Fail,Quiévremont 2012 Vin de Maison Red (Virginia),US,Virginia,Virginia,-,Quiévremont,2012,Red Blend,red,1,23.0,86.0,88.0,87.0
Fail,Baglio di Pianetto 2007 Ficiligno White (Sicilia),Italy,Sicily & Sardinia,Sicilia,-,Baglio di Pianetto,2007,White Blend,white,0,19.0,87.0,87.0,87.0
Fail,Bianchi 2011 Signature Selection Merlot (Paso Robles),US,California,Paso Robles,Central Coast,Bianchi,2011,Merlot,red,1,22.0,88.0,87.0,86.0
Fail,Canicattì 2009 Aynat Nero d'Avola (Sicilia),Italy,Sicily & Sardinia,Sicilia,-,Canicattì,2009,Nero d'Avola,sparkling,0,35.0,87.0,87.0,87.0
Fail,Stemmari 2013 Dalila White (Terre Siciliane),Italy,Sicily & Sardinia,Terre Siciliane,-,Stemmari,2013,White Blend,white,0,13.0,87.0,87.0,87.0
Fail,Stemmari 2013 Nero d'Avola (Terre Siciliane),Italy,Sicily & Sardinia,Terre Siciliane,-,Stemmari,2013,Nero d'Avola,sparkling,0,10.0,87.0,87.0,87.0
Fail,Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria),Italy,Sicily & Sardinia,Cerasuolo di Vittoria,-,Terre di Giurfo,2011,Red Blend,red,0,17.0,87.0,88.0,88.5
Fail,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),US,California,Clarksburg,Central Valley,Clarksburg Wine Company,2010,Chenin Blanc,white,1,16.0,86.5,88.0,87.0
Fail,Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),France,Beaujolais,Beaujolais-Villages,-,Domaine de la Madone,2012,Gamay,red,0,,86.0,88.0,87.0
Fail,Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),Italy,Sicily & Sardinia,Sicilia,-,Duca di Salaparuta,2010,Red Blend,red,0,,87.0,88.0,87.0
Fail,Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),Italy,Sicily & Sardinia,Sicilia,-,Duca di Salaparuta,2011,White Blend,white,0,,87.0,87.0,87.0
Fail,Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),US,California,Dry Creek Valley,Sonoma,Envolve,2010,Red Blend,red,1,50.0,88.0,88.0,85.0
Fail,Envolve 2011 Sauvignon Blanc (Sonoma Valley),US,California,Sonoma Valley,Sonoma,Envolve,2011,Sauvignon Blanc,white,1,20.0,88.0,87.0,85.0
Fail,Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Chile,Colchagua Valley,-,-,Estampa,2011,Chardonnay,white,1,15.0,87.0,88.0,87.0
Fail,Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Italy,Sicily & Sardinia,Sicilia,-,Feudi del Pisciotto,2010,Cabernet Sauvignon,red,0,21.0,87.0,88.0,86.0
Fail,Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Italy,Southern Italy,Puglia,-,Feudi di San Marzano,2011,Primitivo,red,0,11.0,86.0,87.0,87.0
Fail,Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Italy,Sicily & Sardinia,Sicilia,-,Feudo di Santa Tresa,2011,Nero d'Avola,sparkling,0,12.0,87.0,87.0,87.0
Fail,Feudo Montoni 2011 Catarratto (Sicilia),Italy,Sicily & Sardinia,Sicilia,-,Feudo Montoni,2011,Catarratto,white,0,17.0,87.0,87.0,89.0
Fail,Henry Fessy 2012 Nouveau  (Beaujolais),France,Beaujolais,Beaujolais,-,Henry Fessy,2012,Gamay,red,0,9.0,85.0,88.0,87.0
Fail,Robert Hall 2011 Sauvignon Blanc (Paso Robles),US,California,Paso Robles,Central Coast,Robert Hall,2011,Sauvignon Blanc,white,1,14.0,88.0,87.0,86.5
Fail,Sundance 2011 Merlot (Maule Valley),Chile,Maule Valley,-,-,Sundance,2011,Merlot,red,1,9.0,86.0,87.0,83.0
Fail,Tarara 2010 #SocialSecret Red (Virginia),US,Virginia,Virginia,-,Tarara,2010,Red Blend,red,1,40.0,86.0,88.0,85.0
Fail,The White Knight 2011 Riesling (Lake County),US,California,Lake County,-,The White Knight,2011,Riesling,white,1,13.0,88.0,90.0,87.0
Fail,Trump 2011 Sauvignon Blanc (Monticello),US,Virginia,Monticello,-,Trump,2011,Sauvignon Blanc,white,1,16.0,87.0,87.0,87.0
Fail,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),France,Beaujolais,Brouilly,-,Vignerons de Bel Air,2011,Gamay,red,0,14.0,87.0,88.0,87.0
Fail,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Italy,Sicily & Sardinia,Sicilia,-,Viticultori Associati Canicatti,2008,Red Blend,red,0,,87.0,88.0,87.0
Fail,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),Chile,Colchagua Valley,-,-,Casa Silva,2008,Petit Verdot,red,1,22.0,87.0,88.0,87.0
Fail,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Italy,Sicily & Sardinia,Monica di Sardegna,-,Cantine di Dolianova,2010,Monica,red,0,14.0,88.0,88.0,85.0
Fail,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),France,Bordeaux,Bordeaux Blanc,-,Château de Sours,2011,Bordeaux-style White Blend,white,0,15.0,86.0,88.0,85.0
Fail,Corvo 2010 Rosso Red (Sicilia),Italy,Sicily & Sardinia,Sicilia,-,Corvo,2010,Red Blend,red,0,,87.0,88.0,85.0
Fail,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),US,California,Napa Valley,Napa,RustRidge,2010,Chardonnay,white,1,30.0,89.0,88.0,87.0
Fail,Souverain 2010 Chardonnay (North Coast),US,California,North Coast,North Coast,Souverain,2010,Chardonnay,white,1,14.0,87.0,88.0,86.0
Fail,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),Italy,Sicily & Sardinia,Sicilia,-,Tasca d'Almerita,2011,Grillo,white,0,13.0,87.0,87.0,88.0
Fail,Mellisoni 2014 Malbec (Columbia Valley (WA)),US,Washington,Columbia Valley (WA),Columbia Valley,Mellisoni,2014,Malbec,sparkling,1,55.0,89.0,88.0,85.0
Fail,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Okapi,2013,Cabernet Sauvignon,red,1,100.0,89.0,88.0,87.0
Fail,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Italy,Central Italy,Romagna,-,Podere dal Nespoli,2015,Sangiovese,red,0,17.0,88.0,89.0,86.5
Fail,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),US,Washington,Columbia Valley (WA),Columbia Valley,Ram,2014,Cabernet Franc,sparkling,1,25.0,89.0,88.0,85.0
Fail,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),US,California,Santa Ynez Valley,Central Coast,Sevtap,2015,Sauvignon Blanc,white,1,26.0,88.0,87.0,87.0
Fail,Simonnet-Febvre 2015  Chablis,France,Burgundy,Chablis,-,Simonnet-Febvre,2015,Chardonnay,white,0,24.0,91.0,88.0,89.0
Fail,Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,France,Burgundy,Mâcon-Milly Lamartine,-,Vignerons des Terres Secrètes,2015,Chardonnay,white,0,15.0,88.0,88.0,88.0
Fail,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),US,Washington,Columbia Valley (WA),Columbia Valley,Basel Cellars,2013,Bordeaux-style Red Blend,red,1,46.0,89.0,89.0,87.0
Fail,Cocobon 2014 Red (California),US,California,California,California Other,Cocobon,2014,Red Blend,red,1,12.0,85.0,88.0,84.0
Fail,Drumheller 2014 Chardonnay (Columbia Valley (WA)),US,Washington,Columbia Valley (WA),Columbia Valley,Drumheller,2014,Chardonnay,white,1,12.0,89.0,88.0,86.0
Fail,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),US,California,Alexander Valley,Sonoma,Eco Terreno,2013,Cabernet Sauvignon,red,1,40.0,88.0,88.0,86.0
Fail,Grifalco 2013 Daginestra  (Aglianico del Vulture),Italy,Southern Italy,Aglianico del Vulture,-,Grifalco,2013,Aglianico,red,0,32.0,89.0,89.0,88.0
Fail,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),US,California,Howell Mountain,Napa,Hindsight,2013,Cabernet Sauvignon,red,1,75.0,91.0,88.0,88.0
Fail,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),US,California,Calistoga,Napa,Hindsight,2012,Petite Sirah,red,1,55.0,90.0,88.0,88.0
Fail,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),US,California,Napa Valley,Napa,Mulvane Wine Co.,2013,Bordeaux-style Red Blend,red,1,75.0,89.0,89.0,91.0
Fail,Schmitt Söhne 2015 Riesling (Rheinhessen),Germany,Rheinhessen,-,-,Schmitt Söhne,2015,Riesling,white,0,9.0,89.0,90.0,87.5
Fail,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Australia,South Australia,South Australia,-,Yalumba,2016,Chardonnay,white,1,18.0,87.0,88.0,89.0
Fail,Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo),Portugal,Tejo,-,-,Adega Cooperativa do Cartaxo,2014,Touriga Nacional,red,0,,86.0,89.0,86.0
Fail,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),Chile,Rapel Valley,-,-,Aresti,2014,Carmenère,red,1,12.0,86.0,87.0,85.0
Fail,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),France,France Other,Vin de France,-,Lionel Osmin & Cie,2016,Petit Manseng,white,0,11.0,85.0,90.0,88.0
Fail,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),Australia,South Australia,McLaren Vale,-,Mitolo,2016,Rosé,rose,1,20.0,88.0,87.0,86.5
Fail,Napa Cellars 2014 Classic Zinfandel (Napa Valley),US,California,Napa Valley,Napa,Napa Cellars,2014,Zinfandel,red,1,24.0,89.0,88.0,88.0
Fail,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Germany,Rheinhessen,-,-,P.J. Valckenberg,2015,Riesling,white,0,10.0,89.0,90.0,87.0
Fail,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),US,California,Knights Valley,Sonoma,Passaggio,2014,Merlot,red,1,55.0,88.0,87.0,89.0
Fail,Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),Italy,Tuscany,Vernaccia di San Gimignano,-,Poggio Alloro,2014,Vernaccia,white,0,29.0,87.0,87.0,86.0
Fail,Ferrari-Carano 2014 Siena Red (Sonoma County),US,California,Sonoma County,Sonoma,Ferrari-Carano,2014,Red Blend,red,1,23.0,87.0,88.0,90.0
Fail,Franciscan 2013 Magnificat Meritage (Napa Valley),US,California,Napa Valley,Napa,Franciscan,2013,Meritage,red,1,55.0,89.0,88.0,88.0
Fail,Fuchs 2015 Grüner Veltliner (Burgenland),Austria,Burgenland,-,-,Fuchs,2015,Grüner Veltliner,white,0,12.0,90.0,90.0,88.0
Fail,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),US,Washington,Columbia Valley (WA),Columbia Valley,Gård,2014,Viognier,white,1,22.0,89.0,88.0,88.0
Fail,Henry Fessy 2015  Juliénas,France,Beaujolais,Juliénas,-,Henry Fessy,2015,Gamay,red,0,20.0,89.0,88.0,87.0
Fail,Henry Fessy 2015  Régnié,France,Beaujolais,Régnié,-,Henry Fessy,2015,Gamay,red,0,18.0,88.0,88.0,87.0
Fail,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),US,New York,Finger Lakes,Finger Lakes,Heron Hill,2015,Riesling,white,1,20.0,87.0,90.0,87.0
Fail,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Italy,Tuscany,Morellino di Scansano,-,Serpaia di Endrizzi,2010,Sangiovese,red,0,30.0,88.0,89.0,87.5
Fail,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),US,California,Napa Valley,Napa,Soquel Vineyards,2013,Bordeaux-style Red Blend,red,1,75.0,89.0,89.0,87.5
Fail,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),US,New York,Finger Lakes,Finger Lakes,Lamoreaux Landing,2014,Riesling,white,1,20.0,87.0,90.0,87.0
Fail,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),US,New York,Finger Lakes,Finger Lakes,Lamoreaux Landing,2014,Riesling,white,1,20.0,87.0,90.0,87.0
Fail,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Chile,Leyda Valley,-,-,Leyda,2015,Chardonnay,white,1,18.0,87.0,88.0,87.0
Fail,Madonna Alta 2014 Nativo Red (Toscana),Italy,Tuscany,Toscana,-,Madonna Alta,2014,Red Blend,red,0,16.0,89.0,88.0,87.0
Fail,Marchesi Antinori 2015 Villa Antinori White (Toscana),Italy,Tuscany,Toscana,-,Marchesi Antinori,2015,White Blend,white,0,14.0,89.0,87.0,92.0
Fail,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Italy,Tuscany,Toscana,-,Marchesi de' Frescobaldi,2014,Red Blend,red,0,30.0,89.0,88.0,89.0
Fail,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),Italy,Tuscany,Toscana,-,Marchesi de' Frescobaldi,2015,Vermentino,sparkling,0,18.0,89.0,87.0,89.0
Fail,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),US,California,Santa Clara Valley,Central Coast,Martin Ranch,2014,Zinfandel,red,1,26.0,87.0,88.0,87.0
Fail,Ornellaia 2014 Le Volte Red (Toscana),Italy,Tuscany,Toscana,-,Ornellaia,2014,Red Blend,red,0,30.0,89.0,88.0,91.0
Fail,Pardon et Fils 2015 Les Quartelets  (Brouilly),France,Beaujolais,Brouilly,-,Pardon et Fils,2015,Gamay,red,0,23.0,87.0,88.0,87.0
Fail,Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),US,California,Yountville,Napa,Piña,2013,Cabernet Sauvignon,red,1,85.0,90.0,88.0,92.5
Fail,Podere Ciona 2014 Semifonte Red (Toscana),Italy,Tuscany,Toscana,-,Podere Ciona,2014,Red Blend,red,0,15.0,89.0,88.0,87.0
Fail,Poggioventoso 2015 Poetico White (Toscana),Italy,Tuscany,Toscana,-,Poggioventoso,2015,White Blend,white,0,19.0,89.0,87.0,87.0
Fail,Pull 2012 BDX Red (Paso Robles),US,California,Paso Robles,Central Coast,Pull,2012,Bordeaux-style Red Blend,red,1,18.0,88.0,89.0,87.0
Fail,Pull 2013 Chardonnay (Paso Robles),US,California,Paso Robles,Central Coast,Pull,2013,Chardonnay,white,1,18.0,88.0,88.0,87.0
Fail,Tenuta Forconi 2013 Toscano Red (Toscana),Italy,Tuscany,Toscana,-,Tenuta Forconi,2013,Red Blend,red,0,80.0,89.0,88.0,87.5
Pass,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),France,Alsace,Alsace,-,Dopff & Irion,2004,Riesling,white,0,80.0,90.0,90.0,87.0
Pass,Ceretto 2003 Bricco Rocche Prapó  (Barolo),Italy,Piedmont,Barolo,-,Ceretto,2003,Nebbiolo,red,0,70.0,91.0,90.0,90.0
Pass,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),US,California,Alexander Valley,Sonoma,Matrix,2007,Chardonnay,white,1,36.0,88.0,88.0,87.0
Pass,Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile),US,California,Rockpile,Sonoma,Mauritson,2007,Zinfandel,red,1,39.0,90.0,88.0,90.0
Pass,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),Australia,South Australia,Padthaway,-,Henry's Drive Vignerons,2006,Cabernet Sauvignon,red,1,40.0,88.0,88.0,88.0
Pass,Silverado 2006 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Silverado,2006,Cabernet Sauvignon,red,1,45.0,89.0,88.0,89.0
Pass,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),South Africa,Stellenbosch,-,-,Le Riche,2003,Cabernet Sauvignon,red,0,45.0,89.0,88.0,89.5
Pass,Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace),France,Alsace,Alsace,-,Pierre Sparr,2007,Gewürztraminer,white,0,48.0,90.0,88.0,90.0
Pass,Pierre Sparr 2008 Alsace One White (Alsace),France,Alsace,Alsace,-,Pierre Sparr,2008,White Blend,white,0,13.0,90.0,87.0,90.0
Pass,Camberley 2004 Philosophers' Stone Red (Stellenbosch),South Africa,Stellenbosch,-,-,Camberley,2004,Bordeaux-style Red Blend,red,0,25.0,89.0,89.0,89.0
Pass,Ceretto 2003 Bricco Rocche Brunate  (Barolo),Italy,Piedmont,Barolo,-,Ceretto,2003,Nebbiolo,red,0,70.0,91.0,90.0,90.0
Pass,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),South Africa,Simonsberg-Stellenbosch,-,-,Delheim,2001,Cabernet Sauvignon,red,0,30.0,90.0,88.0,90.0
Pass,Poderi Luigi Einaudi 2003  Barolo,Italy,Piedmont,Barolo,-,Poderi Luigi Einaudi,2003,Nebbiolo,red,0,68.0,91.0,90.0,91.0
Pass,Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Clark-Clauden,2007,Cabernet Sauvignon,red,1,78.0,89.0,88.0,93.0
Pass,Giacomo Ascheri 2001 Sorano  (Barolo),Italy,Piedmont,Barolo,-,Giacomo Ascheri,2001,Nebbiolo,red,0,60.0,91.0,90.0,90.0
Pass,Lassègue 2003  Saint-Émilion,France,Bordeaux,Saint-Émilion,-,Lassègue,2003,Bordeaux-style Red Blend,red,0,50.0,91.0,89.0,91.0
Pass,Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay),South Africa,Walker Bay,-,-,Beaumont,2005,Chenin Blanc,white,0,,88.0,88.0,89.5
Pass,Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),Italy,Piedmont,Barbera d'Alba,-,Poderi Colla,2005,Barbera,red,0,26.0,88.0,88.0,90.0
Pass,Giacomo Ascheri 2003 Vigna dei Pola  (Barolo),Italy,Piedmont,Barolo,-,Giacomo Ascheri,2003,Nebbiolo,red,0,45.0,91.0,90.0,90.0
Pass,Banyan 2007 Riesling (Santa Lucia Highlands),US,California,Santa Lucia Highlands,Central Coast,Banyan,2007,Riesling,white,1,17.0,90.0,90.0,88.5
Pass,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),US,California,Spring Mountain District,Napa,Terra Valentine,2013,Cabernet Sauvignon,red,1,85.0,90.0,88.0,90.0
Pass,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),US,California,Santa Ynez Valley,Central Coast,Vincent Vineyards,2010,Cabernet Sauvignon,red,1,68.0,88.0,88.0,91.0
Pass,Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),US,California,Santa Ynez Valley,Central Coast,Vincent Vineyards,2012,Cabernet Sauvignon,red,1,68.0,88.0,88.0,91.0
Pass,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Germany,Rheinhessen,-,-,Weingut Liebfrauenstift,2014,Riesling,white,0,16.0,89.0,90.0,89.0
Pass,Wrath 2013 Destruction Level Red (Monterey),US,California,Monterey,Central Coast,Wrath,2013,Red Blend,red,1,35.0,87.0,88.0,88.0
Pass,Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Yardstick,2013,Cabernet Sauvignon,red,1,25.0,89.0,88.0,86.0
Pass,Herdade Grande 2014 Gerações Colheita Seleccionada Branco White (Alentejano),Portugal,Alentejano,-,-,Herdade Grande,2014,Port,,0,30.0,87.0,88.0,88.0
Pass,Marques de Griñon 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa),Spain,Central Spain,Dominio de Valdepusa,-,Marques de Griñon,2010,Graciano,red,0,50.0,91.5,89.0,91.0
Pass,Carl Graff 2014 Graacher Himmelreich Spätlese Riesling (Mosel),Germany,Mosel,-,-,Carl Graff,2014,Riesling,white,0,14.0,90.0,90.0,88.0
Pass,Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano),Portugal,Alentejano,-,-,Casa Santa Vitória,2013,Port,,0,26.0,87.0,88.0,86.0
Pass,Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Italy,Tuscany,Chianti Classico,-,Castello di Gabbiano,2012,Sangiovese,red,0,38.0,89.0,89.0,90.0
Pass,Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino),Italy,Tuscany,Brunello di Montalcino,-,Castello Romitorio,2011,Sangiovese,red,0,,90.0,89.0,92.0
Pass,Château Vincens 2012 Malbec (Cahors),France,Southwest France,Cahors,-,Château Vincens,2012,Malbec,sparkling,0,35.0,90.0,88.0,92.0
Pass,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),US,California,Paso Robles,Central Coast,Chronic Cellars,2013,Red Blend,red,1,35.0,88.0,88.0,89.0
Pass,Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley),US,California,Edna Valley,Central Coast,Claiborne & Churchill,2014,Riesling,white,1,28.0,90.0,90.0,89.0
Pass,Collin-Bourisset 2011 Hospices Civils de Romanèche Thurins  (Moulin-à-Vent),France,Beaujolais,Moulin-à-Vent,-,Collin-Bourisset,2011,Gamay,red,0,,90.0,88.0,87.5
Pass,Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Chile,Aconcagua Valley,-,-,Conde de Velázquez,2012,Red Blend,red,1,29.0,88.0,88.0,88.0
Pass,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Chile,Maipo Valley,-,-,Cono Sur,2012,Cabernet Sauvignon,red,1,32.0,87.0,88.0,86.0
Pass,Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran),France,Southwest France,Madiran,-,Domaine Berthoumieu,2013,Tannat,red,0,25.0,92.0,89.0,93.0
Pass,Dracaena 2013 Cabernet Franc (Paso Robles),US,California,Paso Robles,Central Coast,Dracaena,2013,Cabernet Franc,sparkling,1,28.0,88.0,88.0,90.5
Pass,Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),US,California,Napa Valley,Napa,Duckhorn,2012,Merlot,red,1,95.0,89.0,87.0,91.0
Pass,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Germany,Mosel,-,-,Fritz Haag,2014,Riesling,white,0,30.0,90.0,90.0,92.0
Pass,Fritz Haag 2014 Riesling (Mosel),Germany,Mosel,-,-,Fritz Haag,2014,Riesling,white,0,22.0,90.0,90.0,92.0
Pass,G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley),Chile,Loncomilla Valley,-,-,G7,2012,Cabernet Sauvignon,red,1,20.0,84.5,88.0,84.0
Fail,Stoneleigh 2008 Sauvignon Blanc (Marlborough),New Zealand,Marlborough,-,-,Stoneleigh,2008,Sauvignon Blanc,white,1,19.0,88.0,87.0,88.0
Fail,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Chile,Maipo Valley,-,-,TerraMater,2006,Red Blend,red,1,50.0,87.0,88.0,86.0
Fail,Isole e Olena 2005  Chianti Classico,Italy,Tuscany,Chianti Classico,-,Isole e Olena,2005,Sangiovese,red,0,22.0,89.0,89.0,92.0
Fail,La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis),France,Burgundy,Chablis,-,La Chablisienne,2006,Chardonnay,white,0,27.0,91.0,88.0,91.0
Fail,Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands),US,California,Santa Lucia Highlands,Central Coast,Manzoni,2006,Chardonnay,white,1,23.0,90.0,88.0,87.0
Fail,Abbadia Ardenga 2003 M. Vigna  (Brunello di Montalcino),Italy,Tuscany,Brunello di Montalcino,-,Abbadia Ardenga,2003,Sangiovese,red,0,,90.0,89.0,91.5
Fail,Alamos 2007 Torrontés (Salta),Argentina,Other,Salta,-,Alamos,2007,Torrontés,white,1,12.0,87.0,86.0,85.0
