class,sex,age,service,stop,npay,avg_bill,A_bill,B_bill,termination
D,F,58.0,1,N,Y,9841.48,2973.7334,5973.0666,N
C,M,24.0,1,N,Y,8364.6666,2100.0,2680.9334,N
D,F,12.0,1,N,N,4588.10011,569.0001,3602.0,N
G,F,40.0,1,N,N,14921.2666,366.3,8262.0666,N
G,M,54.0,1,N,N,14031.2,330.6,9411.0,N
E,M,37.0,0,N,N,10864.2,1316.1,6518.52,Y
D,M,7.0,1,N,N,6947.38,2715.6,3600.2,N
D,F,63.0,2,N,N,9093.51641,685.8999,7580.9332,N
D,F,59.0,1,N,N,9132.27315,1800.3999,6501.6666,N
C,F,57.0,1,N,N,2288.1,1722.0,0.0,N
E,F,26.0,1,N,N,11277.9,2058.0,5540.6,N
D,M,22.0,1,N,N,7823.2,2610.0,4502.0,N
C,M,70.0,1,N,N,3680.6666,282.5001,2208.39996,N
C,M,75.0,0,N,Y,9198.2,8362.0,0.0,Y
G,M,47.0,7,N,Y,15548.1667,4507.0666,9010.1334,N
E,M,61.0,1,N,N,9526.77,1878.9,6781.8,N
G,F,35.0,1,N,N,15032.8667,1704.0,11562.9858,N
G,M,59.0,2,N,N,12681.6666,1713.0,8160.6,N
F,M,20.0,1,N,N,13320.0,2566.0,6000.6,N
C,F,40.0,2,N,Y,61446.4333,1722.0,10966.5834,N
E,M,31.0,0,N,N,9960.0,4708.1334,0.0,Y
E,M,26.0,1,N,N,10125.5334,1704.0,6491.0,N
D,M,58.0,1,N,N,5653.9334,1060.1001,3392.36004,N
D,F,30.0,0,N,N,9441.2666,984.0,5664.75996,Y
E,F,20.0,1,N,N,15992.3333,2873.2,12615.1334,N
C,M,34.0,0,N,N,3900.0,467.1,2340.0,Y
D,M,62.0,2,N,N,7061.26674,2031.0,4388.3334,N
D,F,49.0,1,N,N,8422.60826,3000.0,4656.9166,N
G,M,44.0,1,N,N,13049.0,334.2,5982.0,N
E,F,23.0,1,N,N,15100.0,1883.4999,6202.2,N
G,F,29.0,1,N,N,11375.5333,1736.0001,8410.2,N
F,F,27.0,1,N,N,10769.95326,679.5,9111.3666,N
C,M,30.0,0,N,N,1882.09989,1710.9999,0.0,Y
E,M,61.0,1,N,N,15178.75326,1737.0,12061.8666,N
C,M,77.0,2,N,N,6196.8666,1722.0,2890.9334,N
G,M,34.0,1,N,N,19047.8666,1429.4001,11945.6,N
D,F,58.0,1,N,N,9893.7334,1248.0,3510.6666,N
G,M,57.0,0,N,N,12989.2333,1953.0,4201.2,N
E,F,38.0,1,N,N,15790.7334,2268.0,6260.8666,N
F,F,43.0,1,N,N,14617.2,325.6932,8966.784,N
G,M,24.0,1,N,N,11308.8,1152.0999,8946.7136,N
D,M,17.0,1,N,N,7553.25989,1329.9999,5536.6,N
F,F,46.0,1,N,N,13437.01645,2013.4695,10202.0,N
G,F,39.0,1,N,N,12514.78206,1800.9,9576.1746,N
G,F,38.0,4,N,N,19200.8667,330.0,9892.0,N
D,F,36.0,1,N,N,8181.8666,2319.0,4500.7334,N
E,F,57.0,3,N,N,8025.4666,1603.2999,2202.0,N
E,M,31.0,1,N,N,10469.4,331.2999,4500.2,N
H,M,59.0,4,N,N,11269.1,519.0,8846.8,N
C,F,81.0,2,N,Y,4941.96989,1466.4999,3026.2,N
F,M,31.0,1,N,N,39824.2667,2518.0,12595.5483,N
H,M,36.0,3,N,N,20098.0,1976.0001,15012.8,N
G,M,45.0,1,N,N,19741.6,2238.6666,11157.52,N
G,F,27.0,1,N,Y,12633.92306,2034.0,9451.3846,N
D,F,41.0,1,N,N,12431.2666,2442.0666,3910.2692,N
D,F,32.0,0,N,N,8860.0,1503.0,5316.0,Y
C,F,78.0,1,N,N,4129.4,1752.0,2002.0,N
C,M,51.0,1,N,N,2421.8001,2159.0001,0.0,N
D,F,53.0,1,N,N,7207.2,2198.0001,3901.0,N
D,F,55.0,1,N,N,5864.2666,330.8001,3518.55996,N
D,F,20.0,1,N,N,18551.3334,775.5381,2329.8666,N
D,F,64.0,2,N,N,2391.73011,1004.0001,1170.3,N
D,M,68.0,1,Y,N,6348.02674,3205.3334,2565.6,N
D,M,75.0,1,N,N,6837.0,1595.7,2450.6,N
G,M,58.0,3,N,N,18951.7334,1848.5589,4716.5334,N
E,F,59.0,2,N,N,10562.2333,1881.9999,5775.5506,N
G,F,45.0,1,N,Y,17396.3334,840.3,7780.5804,N
E,F,31.0,1,N,N,8777.0666,342.0,8161.992,N
E,F,70.0,0,N,Y,8432.9,1311.0,5059.74,Y
C,M,86.0,1,N,N,1809.9999,374.0001,1085.99994,N
G,F,50.0,2,N,N,10551.0,1573.1001,8637.2174,N
F,M,47.0,2,N,N,12672.07337,2546.0001,8974.0666,N
C,M,76.0,1,N,N,2362.8,1640.0001,0.0,N
D,M,61.0,1,N,N,5863.6,4987.0666,0.0,N
E,F,65.0,1,N,N,7687.23989,987.9999,6000.4,N
D,F,66.0,1,N,N,7438.86011,2382.2001,4380.4,N
H,M,38.0,1,N,Y,17868.6,1361.0001,14303.3,N
G,F,37.0,2,N,N,16704.41685,1874.0001,13311.8334,N
C,F,38.0,0,N,N,9486.6,1320.9999,5691.96,Y
D,M,47.0,1,N,N,12344.45663,1351.8999,9870.3334,N
F,M,41.0,1,N,N,12461.8666,2736.0,7161.8,N
G,M,46.0,1,N,N,10711.36,1212.0,8525.6,N
C,F,78.0,1,N,N,3993.96294,3630.8754,0.0,N
G,M,26.0,1,N,N,19378.8,5014.5334,6774.0,N
F,F,40.0,1,N,N,13852.6667,1212.0,8981.8,N
G,M,30.0,1,N,Y,45388.8,3801.3334,11229.0992,N
E,M,20.0,1,N,N,9738.0,2418.0,7067.2,N
G,M,41.0,1,N,N,21026.05,2959.3334,10196.236,N
C,M,59.0,1,N,N,1506.3,1353.9999,0.0,N
G,M,28.0,1,N,N,14340.91989,331.5999,12705.6,N
F,F,56.0,1,N,Y,14914.93674,1572.9,11986.1334,N
G,F,43.0,1,N,N,15134.2666,1656.0,7911.4334,N
F,M,32.0,1,N,N,15093.10011,1739.0001,11982.0,N
G,F,28.0,1,N,N,14627.83674,3784.6,9513.4334,N
E,M,25.0,0,N,N,7538.1334,831.0,4522.88004,Y
D,F,38.0,2,N,N,10960.72978,8624.7998,1339.5,N
E,F,28.0,1,N,N,11327.98315,331.2999,9966.8666,N
D,M,58.0,1,N,N,7605.5334,1750.2,4563.32004,N
D,M,22.0,1,N,N,10913.1334,1326.0,5504.9666,N
D,M,84.0,1,N,N,11622.37472,2716.7952,7849.0,N
G,M,26.0,1,N,N,10678.03011,298.1001,9409.2,N
G,M,52.0,1,N,Y,17769.50989,1506.9999,14647.1,N
F,M,61.0,2,N,N,12792.7334,335.1999,7061.608,N
G,M,36.0,1,N,N,13884.1667,3549.8668,10312.6936,N
F,F,25.0,1,N,N,16271.552,2485.8,12306.52,N
E,F,66.0,1,N,N,11543.52232,3492.8666,7001.2446,N
G,M,43.0,1,N,N,11766.8333,2748.0999,8910.6666,N
D,F,59.0,0,N,N,4129.0,636.9999,2477.4,Y
D,M,25.0,0,N,N,4249.0,2846.4,0.0,Y
E,F,44.0,1,N,N,14230.6666,1556.0001,6505.5334,N
G,M,36.0,1,N,Y,10364.4,838.5,5268.6,N
F,F,52.0,1,N,Y,13867.6,996.0,7981.2,N
D,M,55.0,0,N,N,4921.8,330.5001,2953.08,Y
G,F,28.0,1,N,N,16739.98513,620.0001,14598.1682,N
E,F,57.0,1,N,N,12361.3333,366.3,9295.4666,N
C,M,55.0,1,N,N,2504.92011,2277.2001,0.0,N
E,F,31.0,1,N,N,14007.092,285.9,12447.82,N
F,M,53.0,2,Y,N,6658.1334,266.1348,3994.88004,N
D,F,84.0,1,N,N,5648.50011,1133.0001,4002.0,N
D,M,74.0,1,N,N,1082.4,984.0,0.0,Y
E,M,53.0,1,N,N,11308.5334,984.0,6785.12004,N
G,M,52.0,1,N,N,10669.4333,1703.7,7680.4666,N
C,F,54.0,1,N,N,2837.3001,2242.8,0.0,N
D,M,71.0,2,N,N,9682.0,2672.1,3556.9334,N
D,M,34.0,1,N,N,6431.4,1713.0,486.6,N
C,F,60.0,1,N,N,2537.7,2307.0,0.0,N
F,M,40.0,1,N,Y,15719.10989,2308.2999,11981.8,N
F,M,35.0,1,N,N,14437.50011,2852.0001,10273.0,N
D,F,68.0,0,N,N,8543.6666,341.1,5126.19996,Y
C,F,94.0,1,N,N,1486.2,839.4999,0.0,N
G,M,27.0,2,N,N,19695.2,300.0,9510.6,N
G,M,26.0,1,N,N,18051.2,1656.0,8225.12,N
G,M,55.0,1,N,N,13274.5334,4710.4,8163.5334,N
C,F,46.0,1,N,N,1357.2999,330.9,814.37994,N
D,F,65.0,1,N,N,4122.25011,281.9001,3465.6,N
D,M,16.0,1,N,N,10601.0,2628.0666,2732.0,N
C,M,82.0,2,N,N,7636.89674,4302.3334,2640.3,N
D,M,73.0,2,N,N,19395.9271,15194.861,2437.8,N
G,F,56.0,1,N,Y,17957.3,1326.0,11365.64,N
F,M,35.0,1,N,N,16099.01348,3253.4668,11382.0,N
H,F,32.0,1,N,N,15903.43315,2720.7999,11736.8666,N
C,F,28.0,1,N,Y,65313.8667,3020.966,5896.7036,N
D,M,53.0,1,N,Y,7081.8666,1212.0,4500.8666,N
E,M,52.0,1,N,N,12975.3334,1796.3001,10009.5346,N
C,F,25.0,1,N,N,1926.21,1751.1,0.0,Y
D,F,50.0,0,N,N,6534.4,1566.0,3920.64,Y
F,M,24.0,1,N,Y,11252.6666,664.5,7005.6666,N
D,M,42.0,2,N,N,11322.8,1737.0,6683.0,N
E,M,45.0,1,N,Y,16374.1334,1275.0,10637.6306,N
C,M,46.0,1,N,N,5170.88,2317.0,2383.8,N
D,M,57.0,1,N,N,6649.6666,1646.0001,3989.79996,N
C,M,60.0,1,N,N,1843.8,1502.0001,0.0,N
G,F,56.0,1,N,N,13488.9623,1403.1,10859.593,N
D,F,71.0,1,N,N,3679.9334,336.0,3181.7334,N
D,F,57.0,2,N,N,25678.6,1638.0,4186.608,N
G,M,27.0,2,N,N,16629.06091,1760.0001,13357.328,N
F,M,62.0,1,N,N,13109.8,1716.0,10202.0,N
E,F,61.0,1,N,N,9732.0,2609.3334,7048.8,N
G,F,35.0,1,N,N,15681.16,1710.0,12545.6,N
F,M,65.0,3,N,N,10871.4,1721.7999,5908.9064,N
G,F,52.0,2,N,Y,17066.4,2058.9999,10245.0,N
D,F,53.0,1,N,N,7091.3334,3207.3396,0.0,N
C,M,91.0,1,N,N,1902.45,1729.5,0.0,N
F,M,34.0,2,N,Y,21955.63348,4232.8668,15726.8,N
C,M,67.0,1,N,N,6545.10989,3479.8,2470.2999,N
G,M,50.0,1,N,N,11565.3333,1224.9999,6689.0666,N
F,F,58.0,1,N,N,16063.8666,1817.7999,5401.4,N
E,F,38.0,1,N,N,7413.09943,977.1813,5762.0,N
D,M,26.0,2,N,N,2577.37326,2343.0666,0.0,Y
C,F,23.0,1,N,N,2961.56674,2692.3334,0.0,Y
E,F,22.0,1,N,N,14478.0,2118.0,8980.4,N
C,M,57.0,1,N,N,4883.5334,342.0,2930.12004,N
C,M,73.0,1,N,N,2862.8001,2217.0,0.0,N
G,F,42.0,1,N,N,13580.2667,686.049,8670.101,N
C,F,51.0,1,N,N,4767.18011,1373.0001,2960.8,N
D,F,55.0,2,N,N,9191.67326,2552.8,5803.2666,N
D,M,45.0,2,N,N,7660.0,4369.0668,0.0,N
C,F,80.0,1,N,N,1126.39989,1023.9999,0.0,N
E,M,38.0,0,N,N,8813.3334,282.0,5288.00004,Y
D,M,51.0,0,N,N,6536.4,1345.4001,3921.84,Y
C,F,88.0,1,N,N,2203.7001,1194.0,0.0,N
G,M,37.0,1,N,N,10214.7667,2271.0,7447.8,N
C,F,44.0,1,N,Y,1922.25,1747.5,0.0,N
G,M,59.0,2,N,N,12265.0,6423.1334,4726.8666,N
G,M,63.0,1,N,Y,15456.9334,2262.0,12986.4,N
D,M,14.0,1,N,N,8278.6,2124.0,5402.0,N
D,F,52.0,1,N,N,6930.8,1707.9999,4158.48,N
D,M,46.0,1,N,N,11391.52091,1775.0001,8580.928,N
G,M,37.0,1,N,N,22765.9667,1775.4999,6773.6,N
D,F,44.0,0,N,N,4129.0,1322.1999,0.0,Y
D,F,68.0,1,N,N,11107.0666,2174.0001,4001.6506,N
C,M,48.0,0,N,N,3271.9334,1373.0001,0.0,Y
E,F,24.0,1,Y,Y,26542.8,2546.6666,8742.2746,N
G,M,38.0,1,N,N,12821.8,965.3001,5419.964,N
D,M,58.0,0,N,N,4744.4,337.5999,2846.64,Y
D,M,80.0,2,N,N,5723.5334,1713.9999,1751.1,N
D,F,52.0,1,N,N,19186.93348,12791.6668,4651.0,N
D,F,7.0,1,N,N,11933.93674,8446.9334,2402.1,N
C,M,61.0,1,N,N,1367.4,1217.0001,0.0,N
G,M,60.0,2,N,N,21041.53348,12395.8668,6732.8,N
C,M,80.0,2,N,N,3628.23978,1570.2999,1728.0999,N
G,M,46.0,3,N,N,23274.5667,1746.9999,14902.9434,N
C,F,54.0,1,N,N,7971.99348,5227.0668,2020.2,N
F,M,28.0,1,N,N,14148.19989,879.9999,11982.0,N
C,F,50.0,1,N,N,2996.07,2723.7,0.0,N
C,M,93.0,1,N,N,2165.4999,1548.0,0.0,N
E,F,38.0,1,N,N,11446.30652,7554.7332,2851.0,N
C,M,52.0,1,N,N,2218.2,371.0001,1330.92,N
F,M,28.0,0,N,N,18538.2666,3788.0,8446.0666,N
D,M,59.0,0,N,N,5643.6,2850.0,0.0,Y
D,M,18.0,1,N,N,12284.8,331.5999,7980.8,N
E,M,41.0,2,N,N,12883.6333,1701.0,6072.4506,N
G,M,27.0,1,N,Y,12256.96989,1732.2999,9410.4,N
G,F,59.0,1,N,N,13072.1334,290.7999,6287.3334,N
E,M,34.0,1,N,Y,14997.6667,2120.4999,12870.2594,N
E,M,65.0,0,N,N,15525.32674,14113.9334,0.0,Y
D,M,53.0,1,N,N,5872.1334,2332.5,0.0,N
E,M,61.0,0,N,N,11973.3334,3443.9334,7184.00004,Y
E,F,36.0,1,N,N,5064.40011,2402.0001,2202.0,N
F,F,51.0,6,N,N,18380.7334,1448.1,4002.0,N
G,M,32.0,2,N,N,15176.9,2819.6666,11750.6104,N
F,M,62.0,2,N,N,11609.7334,3372.0,6783.981,N
C,M,79.0,1,N,N,1843.8,676.8,0.0,N
C,M,34.0,1,N,N,3686.09989,348.9999,3002.0,N
C,M,52.0,2,N,N,7663.62674,4938.9334,2028.0,N
E,M,29.0,1,N,N,15542.0333,2593.9334,9433.517,N
C,M,82.0,1,N,N,2187.3999,1517.9001,0.0,N
C,M,69.0,2,N,N,5126.0666,362.7999,3893.4666,N
D,F,52.0,0,N,N,11271.73663,10247.0333,0.0,Y
G,M,21.0,1,N,N,35620.9,282.0,9909.5334,N
D,M,77.0,0,N,Y,12197.05663,11088.2333,0.0,Y
C,M,65.0,1,N,N,2529.0,2258.0001,0.0,N
D,M,34.0,1,N,N,14315.5,2012.0001,9194.3804,N
C,F,44.0,1,N,N,1860.0,1707.9999,0.0,N
G,M,45.0,2,N,N,18651.8666,1554.9999,5700.2,N
C,M,63.0,0,N,N,2080.8,1053.0,0.0,Y
D,M,73.0,2,N,N,4593.9334,723.0,3409.9334,N
G,M,55.0,3,N,N,11393.2667,336.0,4896.8334,N
C,M,10.0,1,N,N,3106.0,614.4999,2403.0,N
E,F,85.0,2,N,N,12640.0666,341.3001,6049.2666,N
G,M,51.0,1,N,N,13456.0,335.0001,6082.0,N
G,F,52.0,1,N,N,15161.9334,1731.9999,7960.5334,N
F,F,26.0,1,N,N,14798.3,6915.7334,6537.2666,N
G,F,30.0,1,N,N,14915.4667,285.0,8642.3334,N
D,F,70.0,2,N,N,2856.70011,2597.0001,0.0,N
F,F,54.0,1,N,N,16109.7334,2074.2,12248.8,N
F,M,28.0,1,N,N,65113.6667,1310.4,20083.5033,N
D,F,66.0,1,N,N,7604.00674,2895.0,4017.7334,N
G,F,20.0,1,N,N,13570.4666,1746.0,2976.9999,N
E,F,68.0,1,N,N,13035.1334,1853.0001,5103.8,N
E,F,26.0,1,N,N,9471.2288,2599.2,6011.008,N
C,M,12.0,1,N,Y,2098.8,1908.0,0.0,Y
D,F,57.0,1,N,N,2286.9,2079.0,0.0,Y
E,M,92.0,2,N,Y,7146.2666,1903.5,4160.8,N
D,M,51.0,0,N,Y,4160.4,2864.8,0.0,Y
G,M,37.0,1,N,N,18672.8,1721.7999,6274.0,N
C,M,79.0,1,N,N,5979.8,989.0001,3587.88,N
C,M,42.0,2,N,N,2811.5334,1815.9999,0.0,N
C,F,79.0,1,N,N,2820.94989,336.0,2228.4999,N
F,M,65.0,2,N,N,12591.2666,2094.9999,4470.4666,N
G,F,32.0,2,N,Y,12492.7,721.2999,7749.6666,N
E,M,47.0,2,N,N,9685.4666,4221.2,0.0,N
D,F,20.0,1,N,N,10110.98,282.0,8909.8,N
G,M,48.0,1,N,N,11304.2667,2346.5001,6636.7334,N
C,F,71.0,1,N,N,7310.89348,6646.2668,0.0,N
C,F,77.0,1,N,N,2326.5,2115.0,0.0,Y
D,M,54.0,1,N,N,16965.0666,2693.0001,6772.3734,N
E,M,59.0,2,N,N,9582.4,2599.2,3642.0,N
C,M,68.0,1,N,N,1663.2,1512.0,0.0,N
C,M,18.0,1,N,N,2509.188,1703.7999,577.2801,N
C,M,48.0,1,N,Y,2973.5001,330.0,1784.10006,N
D,F,54.0,1,N,N,8454.6,1704.0,5982.0,N
G,M,41.0,1,N,N,11903.03235,2831.0001,7989.9384,N
C,F,47.0,1,N,Y,1872.8001,1464.9999,0.0,N
D,M,73.0,1,N,N,7207.2666,2284.6666,4651.4666,N
F,F,51.0,1,N,N,11736.04652,4026.6666,6642.4666,N
C,M,69.0,1,N,N,1984.39989,1803.9999,0.0,N
C,F,69.0,2,N,N,6251.59326,3526.0666,2157.2,N
E,M,71.0,1,N,N,8903.0,2952.3,4500.9334,N
C,M,63.0,1,N,N,1360.8999,330.0,816.53994,N
D,M,83.0,2,N,N,1873.5,767.0001,0.0,N
E,M,55.0,2,N,N,14592.9334,1953.9999,8019.7334,N
G,F,46.0,2,Y,N,10000.5,1704.0,5806.3,N
G,M,32.0,1,N,Y,20625.6,2682.3,11728.6666,N
D,M,53.0,0,N,N,6180.0,366.3,3708.0,Y
C,M,88.0,1,N,N,1429.2,1017.9999,0.0,N
G,F,37.0,1,N,N,16592.69326,2538.6666,12545.6,N
C,M,86.0,1,N,Y,2790.81,2537.1,0.0,N
C,M,64.0,1,N,N,3772.26674,3429.3334,0.0,N
E,F,34.0,1,N,N,11333.3334,3085.6668,7982.0,N
D,F,69.0,2,N,N,7508.41674,2330.6668,4495.1666,N
D,M,28.0,0,N,N,4169.0,3928.2666,0.0,Y
D,F,10.0,1,N,N,4054.0,1088.4,2501.2,N
C,F,51.0,1,N,N,14089.0,2217.0,8453.4,N
E,F,63.0,1,N,N,7802.3,1491.0,5602.0,N
D,F,77.0,1,N,N,14738.8,1326.0,8843.28,N
G,F,30.0,1,N,N,51771.2667,332.1,8448.0666,N
D,M,78.0,1,N,N,5602.4666,1635.3,3361.47996,N
F,F,51.0,1,N,Y,33305.8333,1102.7001,13152.2833,N
G,M,48.0,1,N,Y,11580.6,1784.0001,8149.764,N
F,F,24.0,2,N,N,18376.4666,332.0001,13392.228,N
E,F,44.0,1,N,N,7223.70044,2097.1338,4469.8666,N
D,F,52.0,1,N,N,7228.0,1320.0,5400.2,N
C,M,49.0,1,N,N,5247.9334,1328.7999,3148.76004,N
D,F,62.0,1,N,N,4910.8,1314.9999,2946.48,N
C,F,76.0,1,N,N,4801.17,2033.7999,2330.9001,N
C,M,27.0,0,N,Y,5508.3334,2711.3334,0.0,Y
C,M,76.0,1,N,Y,2403.9,336.0,1442.34,N
H,M,45.0,3,N,Y,13918.3333,2262.9999,8628.5666,N
E,M,16.0,1,N,N,10202.6,855.0,5396.2,N
D,F,68.0,1,N,Y,1101.87,1001.7,0.0,Y
G,M,57.0,1,N,N,11567.85674,1743.0,8773.2334,N
D,F,35.0,1,N,N,10757.5334,659.0001,5602.0,N
G,M,59.0,2,N,N,20164.1,1220.0001,8179.0556,N
D,F,49.0,1,N,N,4275.7,1635.0,2252.0,N
E,F,41.0,1,N,N,7635.2947,339.1104,6602.0666,N
G,M,62.0,1,Y,N,10262.8666,1987.8,4704.8666,N
G,M,26.0,1,N,N,16648.81845,2194.1001,12941.1894,N
C,M,56.0,0,N,N,3220.0,831.0,1932.0,Y
D,F,73.0,1,N,Y,7105.6666,831.0,2866.8,N
G,F,24.0,1,N,N,13132.68011,2429.0001,9509.8,N
G,F,75.0,1,N,Y,13966.77326,2436.8,10260.2666,N
D,F,56.0,1,N,N,7578.52326,1800.0,5089.5666,N
D,M,58.0,2,N,N,6672.6666,1760.7999,4003.59996,N
G,F,30.0,2,N,N,16717.2,2402.0001,8456.92,N
D,M,32.0,0,N,N,5249.2,2406.6,0.0,Y
D,M,60.0,0,N,N,6496.4,2112.9999,0.0,Y
C,F,62.0,1,N,N,2617.11989,377.1999,2002.0,N
G,M,26.0,2,N,Y,18910.27974,3566.0,13625.1634,N
G,F,20.0,2,N,Y,12611.35304,2575.3998,8889.4666,N
F,F,28.0,1,N,N,15728.6666,1703.7999,8983.8334,N
E,F,45.0,1,N,N,9528.2,1680.0,6982.0,N
D,F,19.0,1,N,N,13420.6666,1704.0,4577.6666,N
G,F,50.0,1,N,N,17354.8,1758.9999,10910.3754,N
H,M,46.0,2,N,N,21045.1333,2193.9999,10738.2,N
G,M,58.0,1,N,N,11364.24674,2592.0,7739.1334,N
G,F,20.0,1,N,N,13629.7334,1509.8001,7651.7334,N
D,F,25.0,1,N,Y,19407.6666,1311.0,3901.0666,N
F,F,62.0,1,N,Y,17048.4,336.9999,7528.8334,N
G,M,42.0,1,N,Y,15582.1334,1779.0,9732.3334,N
F,M,54.0,1,N,N,16907.77,3282.0,12088.7,N
C,F,60.0,1,Y,Y,2340.79989,2127.9999,0.0,N
C,M,76.0,2,N,N,8356.26,6940.8,655.8,N
D,M,15.0,1,N,N,8409.49989,1662.9999,5982.0,N
G,F,47.0,2,N,Y,14069.4,1109.6022,10312.64,N
C,F,70.0,3,N,N,3366.6,1507.2999,8.4,N
G,M,28.0,4,N,N,22205.2667,2147.3334,11409.4,N
C,F,69.0,1,N,N,2090.9001,993.3,0.0,N
C,M,37.0,1,N,N,2231.6,2073.9999,0.0,N
D,F,57.0,1,N,N,4881.50685,1587.2001,2850.5334,N
D,M,31.0,1,N,N,371.80011,338.0001,0.0,Y
E,M,49.0,1,N,N,10208.6333,3171.3334,6794.4666,N
D,M,47.0,1,N,N,6209.1334,2318.6666,0.0,N
D,F,11.0,1,N,Y,1622.0001,876.3,271.4001,N
D,F,21.0,0,N,N,18278.0,2075.0001,6683.6,N
F,M,55.0,2,N,N,12129.7334,1440.0,7277.84004,N
D,M,40.0,1,N,N,11595.20989,2259.0999,8282.0,N
G,M,59.0,1,N,N,8254.62011,822.2001,6682.0,N
E,M,46.0,1,N,N,12237.0,1938.9432,6291.8,N
D,M,79.0,2,N,N,5878.91326,2275.2,3069.2666,N
C,M,56.0,1,N,N,1887.3,528.0,1132.38,N
F,F,28.0,1,N,N,11500.5,2445.0668,7984.9334,N
C,F,29.0,1,N,N,10415.04794,9468.2254,0.0,Y
G,M,21.0,1,N,N,18335.09337,1811.0001,14857.2666,N
E,F,48.0,1,N,N,8492.6688,2853.0,4867.608,N
