base_ym,dpro_tgt_perd_val,cust_ctg_type,cust_class,sex_type,age,efct_svc_count,dt_stop_yn,npay_yn,r3m_avg_bill_amt,r3m_A_avg_arpu_amt,r3m_B_avg_arpu_amt,r6m_A_avg_arpu_amt,r6m_B_avg_arpu_amt,termination_yn
202006,20200630,10001,D,F,55,1,N,N,5864.2666,330.8001,3518.55996,381.3,0,N
202006,20200630,10001,D,F,20,1,N,N,18551.3334,775.5381,2329.8666,0,3261.2,N
202006,20200630,10001,_,M,60,0,N,N,1087.78989,988.8999,0,0,12547.625,N
202006,20200630,10001,D,F,64,2,N,N,2391.73011,1004.0001,1170.3,0,1167.6501,N
202006,20200630,10001,D,M,68,1,Y,N,6348.02674,3205.3334,2565.6,0,2197.4334,N
202006,20200630,10001,D,M,75,1,N,N,6837,1595.7,2450.6,0,2448.6666,N
202006,20200630,10001,G,M,58,3,N,N,18951.7334,1848.5589,4716.5334,330,4457.2666,N
202006,20200630,10001,E,F,59,2,N,N,10562.2333,1881.9999,5775.5506,3112.3334,6263.1174,N
202006,20200630,10001,G,F,45,1,N,Y,17396.3334,840.3,7780.5804,0,7905.8196,N
202006,20200630,10001,_,_,_,1,N,N,2469.49989,2244.9999,0,0,0,Y
202006,20200630,10001,E,F,31,1,N,N,8777.0666,342,8161.992,0,7235.6586,N
202006,20200630,10001,E,F,70,0,N,Y,8432.9,1311,5059.74,0,0,Y
202006,20200630,10001,C,M,86,1,N,N,1809.9999,374.0001,1085.99994,1670.0001,0,N
202006,20200630,10001,G,F,50,2,N,N,10551,1573.1001,8637.2174,943.7001,8278.1006,N
202006,20200630,10001,F,M,47,2,N,N,12672.07337,2546.0001,8974.0666,0,9028.7334,N
202006,20200630,10001,C,M,76,1,N,N,2362.8,1640.0001,0,2485.5501,0,N
202006,20200630,10001,D,M,61,1,N,N,5863.6,4987.0666,0,281.7,0,N
202006,20200630,10001,E,F,65,1,N,N,7687.23989,987.9999,6000.4,0,5998.4,N
202006,20200630,10001,D,F,66,1,N,N,7438.86011,2382.2001,4380.4,0,4303.6,N
202006,20200630,10001,H,M,38,1,N,Y,17868.6,1361.0001,14303.3,0,13519.8916,N
202006,20200630,10001,G,F,37,2,N,N,16704.41685,1874.0001,13311.8334,0,18121.45,N
202006,20200630,10001,C,F,38,0,N,N,9486.6,1320.9999,5691.96,0,0,Y
202006,20200630,10001,D,M,47,1,N,N,12344.45663,1351.8999,9870.3334,0,8195.1666,N
202006,20200630,10001,F,M,41,1,N,N,12461.8666,2736,7161.8,0,7985.9,N
202006,20200630,10001,G,M,46,1,N,N,10711.36,1212,8525.6,0,8523.6,N
202006,20200630,10001,C,F,78,1,N,N,3993.96294,3630.8754,0,1375.7001,0,N
202006,20200630,10005,_,_,_,0,N,Y,10255.3333,2223.9999,6153.19998,0,0,Y
202006,20200630,10001,G,M,26,1,N,N,19378.8,5014.5334,6774,0,8958.895,N
202006,20200630,10001,F,F,40,1,N,N,13852.6667,1212,8981.8,0,8979.8,N
202006,20200630,10001,G,M,30,1,N,Y,45388.8,3801.3334,11229.0992,0,9877.9982,N
202006,20200630,10001,E,M,20,1,N,N,9738,2418,7067.2,0,7065.2,N
202006,20200630,10001,G,M,41,1,N,N,21026.05,2959.3334,10196.236,0,10194.236,N
202006,20200630,10001,C,M,59,1,N,N,1506.3,1353.9999,0,1308,0,N
202006,20200630,10001,G,M,28,1,N,N,14340.91989,331.5999,12705.6,0,12703.6,N
202006,20200630,10001,F,F,56,1,N,Y,14914.93674,1572.9,11986.1334,0,11982,N
202006,20200630,10001,G,F,43,1,N,N,15134.2666,1656,7911.4334,0,7908.3166,N
202006,20200630,10001,F,M,32,1,N,N,15093.10011,1739.0001,11982,0,11396.5334,N
202006,20200630,10001,G,F,28,1,N,N,14627.83674,3784.6,9513.4334,0,9858.691,N
202006,20200630,10001,E,M,25,0,N,N,7538.1334,831,4522.88004,0,0,Y
202006,20200630,10001,D,F,38,2,N,N,10960.72978,8624.7998,1339.5,3766.5666,1336.5,N
202006,20200630,10005,E,_,_,0,N,N,12253.3334,2436.6666,7352.00004,0,0,Y
202006,20200630,10001,E,F,28,1,N,N,11327.98315,331.2999,9966.8666,0,9199.7334,N
202006,20200630,10001,D,M,58,1,N,N,7605.5334,1750.2,4563.32004,1338.5001,0,N
202006,20200630,10001,D,M,22,1,N,N,10913.1334,1326,5504.9666,0,5811.2834,N
202006,20200630,10001,D,M,84,1,N,N,11622.37472,2716.7952,7849,0,6865.2334,N
202006,20200630,10001,G,M,26,1,N,N,10678.03011,298.1001,9409.2,0,9407.2,N
202006,20200630,10001,G,M,52,1,N,Y,17769.50989,1506.9999,14647.1,0,14744.95,N
202006,20200630,10001,F,M,61,2,N,N,12792.7334,335.1999,7061.608,355.5,7059.808,N
202006,20200630,10001,G,M,36,1,N,N,13884.1667,3549.8668,10312.6936,0,10702.1398,N
202006,20200630,10001,F,F,25,1,N,N,16271.552,2485.8,12306.52,0,16420.2534,N
202006,20200630,10001,E,F,66,1,N,N,11543.52232,3492.8666,7001.2446,2102.4999,6999.7502,N
202006,20200630,10001,G,M,43,1,N,N,11766.8333,2748.0999,8910.6666,0,8908.6,N
202006,20200630,10001,D,F,59,0,N,N,4129,636.9999,2477.4,0,0,Y
202006,20200630,10001,D,M,25,0,N,N,4249,2846.4,0,0,0,Y
202006,20200630,10001,_,F,45,1,N,N,4506.62674,4096.9334,0,0,0,Y
202006,20200630,10001,E,F,44,1,N,N,14230.6666,1556.0001,6505.5334,0,6510.1666,N
202006,20200630,10001,G,M,36,1,N,Y,10364.4,838.5,5268.6,0,5266.6,N
202006,20200630,10001,F,F,52,1,N,Y,13867.6,996,7981.2,0,8145.9,N
202006,20200630,10001,D,M,55,0,N,N,4921.8,330.5001,2953.08,0,0,Y
202006,20200630,10001,G,F,28,1,N,N,16739.98513,620.0001,14598.1682,0,13771.2014,N
202006,20200630,10001,E,F,57,1,N,N,12361.3333,366.3,9295.4666,0,9791.5666,N
202006,20200630,10001,C,M,55,1,N,N,2504.92011,2277.2001,0,1378.5,0,N
202006,20200630,10001,E,F,31,1,N,N,14007.092,285.9,12447.82,0,12982.9614,N
202006,20200630,10001,F,M,53,2,Y,N,6658.1334,266.1348,3994.88004,3417.3334,0,N
202006,20200630,10001,_,M,14,0,N,N,7816.34766,2125.3334,4980.4372,0,4978.9996,N
202006,20200630,10001,D,F,84,1,N,N,5648.50011,1133.0001,4002,0,4000,N
202006,20200630,10001,D,M,74,1,N,N,1082.4,984,0,0,0,Y
202006,20200630,10001,E,M,53,1,N,N,11308.5334,984,6785.12004,1936.8999,0,N
202006,20200630,10001,G,M,52,1,N,N,10669.4333,1703.7,7680.4666,0,7664.5334,N
202006,20200630,10001,C,F,54,1,N,N,2837.3001,2242.8,0,2822.0499,0,N
202006,20200630,10001,D,M,71,2,N,N,9682,2672.1,3556.9334,2887.5,3454.4584,N
202006,20200630,10001,D,M,34,1,N,N,6431.4,1713,486.6,0,495.9,N
202006,20200630,10010,_,_,_,845,Y,Y,2944865.533,1964.0001,1766919.32,1208497.658,0,N
202006,20200630,10001,_,M,_,2,N,N,376.2,342,0,0,2166.2001,N
202006,20200630,10001,C,F,60,1,N,N,2537.7,2307,0,1711.5999,0,N
202006,20200630,10001,F,M,40,1,N,Y,15719.10989,2308.2999,11981.8,0,11040.4666,N
202006,20200630,10010,_,_,_,5,N,N,15467.9667,7372.5334,0,10770.9334,0,N
202006,20200630,10001,F,M,35,1,N,N,14437.50011,2852.0001,10273,0,10448.5334,N
202006,20200630,10001,D,F,68,0,N,N,8543.6666,341.1,5126.19996,0,0,Y
202006,20200630,10001,_,F,32,0,N,N,13566.53287,344.0001,11989.2116,0,10903.5998,N
202006,20200630,10001,C,F,94,1,N,N,1486.2,839.4999,0,1311,0,N
202006,20200630,10001,G,M,27,2,N,N,19695.2,300,9510.6,0,9508.6,N
202006,20200630,10001,G,M,26,1,N,N,18051.2,1656,8225.12,0,8522.62,N
202006,20200630,10001,G,M,55,1,N,N,13274.5334,4710.4,8163.5334,0,8143.3666,N
202006,20200630,10001,C,F,46,1,N,N,1357.2999,330.9,814.37994,1166.4999,0,N
202006,20200630,10001,D,F,65,1,N,N,4122.25011,281.9001,3465.6,0,3463.6,N
202006,20200630,10001,D,M,16,1,N,N,10601,2628.0666,2732,0,2730,N
202006,20200630,10005,C,_,_,0,N,N,6341.2,1316.3001,3804.72,0,0,Y
202006,20200630,10001,C,M,82,2,N,N,7636.89674,4302.3334,2640.3,1674.75,2637.3,N
202006,20200630,10001,_,M,30,1,N,Y,1086.79989,987.9999,0,0,0,Y
202006,20200630,10001,D,M,73,2,N,N,19395.9271,15194.861,2437.8,0,2165,N
202006,20200630,10001,G,F,56,1,N,Y,17957.3,1326,11365.64,0,10154.1054,N
202006,20200630,10001,_,F,67,1,N,N,5057.68989,2334.9999,2262.9,0,1981.35,N
202006,20200630,10001,F,M,35,1,N,N,16099.01348,3253.4668,11382,0,11380,N
202006,20200630,10001,H,F,32,1,N,N,15903.43315,2720.7999,11736.8666,0,12135.2584,N
202006,20200630,10001,C,F,28,1,N,Y,65313.8667,3020.966,5896.7036,0,9636.568,N
202006,20200630,10001,D,M,53,1,N,Y,7081.8666,1212,4500.8666,0,4292.7,N
202006,20200630,10001,E,M,52,1,N,N,12975.3334,1796.3001,10009.5346,333.6657,10007.5014,N
202006,20200630,10001,C,F,25,1,N,N,1926.21,1751.1,0,0,0,Y
202006,20200630,10001,_,M,43,1,N,N,4771.58,3464.8,873,0,870,N
202006,20200630,10001,D,F,50,0,N,N,6534.4,1566,3920.64,0,0,Y
202006,20200630,10001,F,M,24,1,N,Y,11252.6666,664.5,7005.6666,0,6991.8334,N
202006,20200630,10001,D,M,42,2,N,N,11322.8,1737,6683,2534.4999,6680.8334,N
202006,20200630,10001,E,M,45,1,N,Y,16374.1334,1275,10637.6306,0,8262.7974,N
202006,20200630,10001,C,M,46,1,N,N,5170.88,2317,2383.8,0,2378.8,N
202006,20200630,10001,D,M,57,1,N,N,6649.6666,1646.0001,3989.79996,2095.5,0,N
202006,20200630,10001,_,M,78,1,N,N,2884.2,819,1803,0,1820.0001,N
202006,20200630,10001,C,M,60,1,N,N,1843.8,1502.0001,0,1704,0,N
202006,20200630,10001,G,F,56,1,N,N,13488.9623,1403.1,10859.593,0,11583.2966,N
202006,20200630,10001,D,F,71,1,N,N,3679.9334,336,3181.7334,0,3323.4334,N
202006,20200630,10001,D,F,57,2,N,N,25678.6,1638,4186.608,308.0001,4136.9414,N
202006,20200630,10001,G,M,27,2,N,N,16629.06091,1760.0001,13357.328,0,13355.028,N
202006,20200630,10001,F,M,62,1,N,N,13109.8,1716,10202,0,10200,N
202006,20200630,10001,E,F,61,1,N,N,9732,2609.3334,7048.8,0,7016.8,N
202006,20200630,10001,G,F,35,1,N,N,15681.16,1710,12545.6,0,12608.005,N
202006,20200630,10001,F,M,65,3,N,N,10871.4,1721.7999,5908.9064,1280.6499,5898.0476,N
202006,20200630,10001,G,F,52,2,N,Y,17066.4,2058.9999,10245,0,10382.8896,N
202006,20200630,10001,D,F,53,1,N,N,7091.3334,3207.3396,0,329.4999,0,N
202006,20200630,10001,C,M,91,1,N,N,1902.45,1729.5,0,1368.9999,0,N
202006,20200630,10001,_,M,22,0,N,N,15898.6,1753.5999,8250.0216,0,8487.4416,N
202006,20200630,10001,F,M,34,2,N,Y,21955.63348,4232.8668,15726.8,0,15672.85,N
202006,20200630,10001,C,M,67,1,N,N,6545.10989,3479.8,2470.2999,0,2845.8999,N
202006,20200630,10001,G,M,50,1,N,N,11565.3333,1224.9999,6689.0666,0,7183.9,N
202006,20200630,10001,F,F,58,1,N,N,16063.8666,1817.7999,5401.4,0,6334.225,N
202006,20200630,10001,E,F,38,1,N,N,7413.09943,977.1813,5762,0,5926.6666,N
202006,20200630,10001,D,M,26,2,N,N,2577.37326,2343.0666,0,0,0,Y
202006,20200630,10001,C,F,23,1,N,N,2961.56674,2692.3334,0,0,0,Y
202006,20200630,10001,E,F,22,1,N,N,14478,2118,8980.4,0,8978.4,N
202006,20200630,10001,C,M,57,1,N,N,4883.5334,342,2930.12004,2584,0,N
202006,20200630,10001,C,M,73,1,N,N,2862.8001,2217,0,2069.25,0,N
202006,20200630,10001,G,F,42,1,N,N,13580.2667,686.049,8670.101,0,8040.3502,N
202006,20200630,10001,C,F,51,1,N,N,4767.18011,1373.0001,2960.8,0,2959.2,N
202006,20200630,10005,C,_,_,1,N,Y,2536.60011,2306.0001,0,1731.6501,0,N
202006,20200630,10001,D,F,55,2,N,N,9191.67326,2552.8,5803.2666,0,5367,N
202006,20200630,10001,_,M,30,1,N,N,3902.28674,2374.5334,1173,0,1170,N
202006,20200630,10001,D,M,45,2,N,N,7660,4369.0668,0,3063.4,0,N
202006,20200630,10001,C,F,80,1,N,N,1126.39989,1023.9999,0,354,0,N
202006,20200630,10001,E,M,38,0,N,N,8813.3334,282,5288.00004,0,0,Y
202006,20200630,10001,D,M,51,0,N,N,6536.4,1345.4001,3921.84,0,0,Y
202006,20200630,10001,C,F,88,1,N,N,2203.7001,1194,0,2193.5001,0,N
202006,20200630,10001,G,M,37,1,N,N,10214.7667,2271,7447.8,0,7103.525,N
202006,20200630,10001,C,F,44,1,N,Y,1922.25,1747.5,0,908.4999,0,N
