RID,Time_Departure,Time_Arrival,Distance,Time_Driving,Speed_Per_Hour,Address1,Address2,Weekday,Hour,Day,Signaltype
router-84875df7fc-scxcj-7-58000288-0,12:37:54,12:47:59.325000,9890.0,601.8159790039,59.1609416203,경기도,파주시,4,12,24,3.0
router-84875df7fc-52vz8-7-12796175-0,07:51:36,08:06:55.454000,5277.0,917.4920043945,20.7055755353,경기도,성남시 중원구,4,7,31,30.0
router-84875df7fc-scxcj-7-58069951-0,13:05:56,13:20:03.255000,10694.0,844.0720214844,45.6103259202,경기도,파주시,4,13,24,1.0
router-84875df7fc-52vz8-6-65733419-0,14:42:49,14:57:02.451000,4729.0,847.283996582,20.0929087162,경기도,파주시,2,14,29,26.0
router-84875df7fc-cmkz9-2-6979932-0,07:35:17,07:52:24.792000,6058.0,1028.3270263672,21.2080393112,서울특별시,서초구,0,7,20,50.0
router-84875df7fc-cmkz9-7-67672776-0,19:34:52,19:47:04.160000,3526.0,731.3330078125,17.3567989745,경기도,의정부시,2,19,29,16.0
router-84875df7fc-cmkz9-1-7044249-0,16:13:54,16:20:53.603000,4843.0,419.7369995117,41.5374389684,경기도,광주시,1,16,21,7.0
router-84875df7fc-b5nxc-1-8728402-0,10:07:18,10:27:58.164000,6800.0,1228.0720214844,19.9336843212,서울특별시,노원구,1,10,28,35.0
router-84875df7fc-cmkz9-7-67301848-0,16:47:09,17:31:21.160000,4800.0,2651.1708984375,6.517874804,경기도,광명시,2,16,29,22.0
router-84875df7fc-52vz8-4-30689782-0,12:41:37,12:47:09.511000,4140.0,332.5889892578,44.8120667893,경기도,파주시,3,12,30,0.0
router-84875df7fc-8n4sw-7-58987661-0,09:59:07,10:16:10.921000,6381.0,1023.0330200195,22.4544071897,경기도,하남시,3,9,23,22.0
router-84875df7fc-52vz8-7-11580241-0,08:23:36,08:36:42.582000,9269.0,773.9470214844,43.1145790005,경기도,시흥시,1,8,28,28.0
router-84875df7fc-scxcj-7-53062256-0,09:57:22,10:15:50.009000,8975.0,1108.6510009766,29.1435266568,경기도,김포시,2,9,22,6.0
router-84875df7fc-b5nxc-7-20862635-0,16:49:41,16:55:10.622000,4709.0,330.4649963379,51.2986252337,경기도,포천시,0,16,20,18.0
router-84875df7fc-52vz8-5-8428995-0,08:04:33,08:09:34.111000,5138.0,300.3550109863,61.5831243809,서울특별시,강남구,4,8,24,0.0
router-84875df7fc-cmkz9-4-24964951-0,14:38:54,14:55:58.303000,3235.0,1023.5319824219,11.3782472849,서울특별시,서초구,3,14,23,18.0
router-84875df7fc-scxcj-1-5797892-0,21:09:27,21:20:50.263000,6619.0,681.2479858398,34.9775713034,서울특별시,노원구,3,21,23,26.0
router-84875df7fc-8n4sw-1-7330498-0,10:07:32,10:14:22.191000,3741.0,410.5100097656,32.806995395,경기도,용인시 처인구,4,10,24,7.0
router-84875df7fc-8n4sw-7-58693471-0,07:36:27,07:51:54.271000,8439.0,927.341003418,32.7607642583,경기도,고양시 덕양구,3,7,23,12.0
router-84875df7fc-b5nxc-4-67443924-0,21:03:23,21:13:59.743000,7376.0,616.5349731445,43.0690896002,경기도,안성시,0,21,27,16.0
router-84875df7fc-8n4sw-6-28473293-0,05:41:59,06:00:31.668000,10220.0,1107.5460205078,33.2193871124,서울특별시,성북구,1,5,28,19.0
router-84875df7fc-b5nxc-4-57177939-0,17:16:38,17:27:04.169000,5557.0,625.257019043,31.9951626143,경기도,남양주시,3,17,23,5.0
router-84875df7fc-b5nxc-0-6033758-0,11:26:19,11:38:41.858000,3222.0,742.5960083008,15.6197984777,서울특별시,서초구,0,11,27,29.0
router-84875df7fc-b5nxc-5-8581070-0,06:26:47,06:34:46.460000,3136.0,479.3670043945,23.5510577418,서울특별시,동작구,2,6,22,21.0
router-84875df7fc-b5nxc-4-69866564-0,22:59:28,23:16:12.160000,6571.0,999.0120239258,23.6789942798,경기도,수원시 영통구,1,22,28,19.0
router-84875df7fc-8n4sw-1-8315677-0,10:41:16,10:49:23.819000,3057.0,487.2080078125,22.5882986805,경기도,광명시,0,10,27,19.0
router-84875df7fc-b5nxc-4-55973550-0,09:17:47,09:25:46.032000,3137.0,479.075012207,23.5729263941,서울특별시,강동구,3,9,23,8.0
router-84875df7fc-52vz8-6-61639234-0,15:02:53,15:17:23.167000,4533.0,869.3519897461,18.7712229252,서울특별시,강남구,0,15,27,32.0
router-84875df7fc-scxcj-3-30148453-0,12:07:22,12:22:22.207000,7560.0,899.7189941406,30.2494447458,경기도,남양주시,3,12,30,38.0
router-84875df7fc-scxcj-3-28558201-0,16:49:50,17:06:25.548000,10671.0,991.8079833984,38.7329005645,서울특별시,강서구,1,16,28,26.0
router-84875df7fc-52vz8-4-23622978-0,10:48:31,11:04:07.987000,4666.0,936.5809936523,17.9350212249,경기도,수원시 장안구,3,10,23,34.0
router-84875df7fc-b5nxc-4-66253325-0,12:31:38,12:41:04.574000,4847.0,566.6300048828,30.7946982151,경기도,수원시 권선구,0,12,27,18.0
router-84875df7fc-cmkz9-4-24567965-0,08:23:41,08:44:44.011000,6287.0,1263.5080566406,17.9129843146,경기도,고양시 덕양구,3,8,23,17.0
router-84875df7fc-b5nxc-4-72823112-0,09:57:44,10:23:14.900000,14668.0,1529.9659423828,34.5137094475,경기도,의정부시,3,9,30,53.0
router-84875df7fc-cmkz9-7-64556519-0,12:59:11,13:13:13.568000,4464.0,839.1220092773,19.151446181,서울특별시,강서구,1,12,28,33.0
router-84875df7fc-52vz8-3-13747117-0,16:02:19,16:10:40.815000,5861.0,499.8770141602,42.2095823619,경기도,화성시,3,16,23,9.0
router-84875df7fc-cmkz9-7-50894510-0,11:19:12,11:31:39.573000,7973.0,748.6119995117,38.3413570965,경기도,오산시,2,11,22,8.0
router-84875df7fc-52vz8-5-7334230-0,19:51:34,20:00:58.799000,4113.0,565.2709960938,26.1941619194,서울특별시,금천구,0,19,20,28.0
router-84875df7fc-scxcj-3-30822410-0,23:38:27,23:58:27.548000,12252.0,1200.2719726562,36.7476713652,서울특별시,은평구,3,23,30,55.0
router-84875df7fc-cmkz9-7-53352495-0,13:35:39,14:00:38.508000,6364.0,1500.3590087891,15.2699453036,서울특별시,강남구,3,13,23,11.0
router-84875df7fc-b5nxc-4-72644682-0,08:35:04,09:01:29.218000,14451.0,1585.3879394531,32.8144290147,경기도,남양주시,3,8,30,29.0
router-84875df7fc-cmkz9-7-53053083-0,11:27:48,11:53:45.273000,14922.0,1556.3220214844,34.5167640491,서울특별시,송파구,3,11,23,13.0
router-84875df7fc-scxcj-2-8029541-0,20:11:00,20:21:00.064000,4023.0,600.3129882812,24.1254150464,서울특별시,서초구,3,20,23,0.0
router-84875df7fc-b5nxc-5-10917550-0,09:39:35,09:48:43.676000,3937.0,547.7919921875,25.8733245504,경기도,용인시 기흥구,1,9,28,0.0
router-84875df7fc-scxcj-0-9253721-0,13:22:05,13:44:57.690000,6402.0,1370.3179931641,16.8188698645,서울특별시,강남구,2,13,29,29.0
router-84875df7fc-b5nxc-0-6697312-0,15:27:01,15:39:52.558000,3682.0,771.3400268555,17.1846391196,서울특별시,중구,3,15,30,13.0
router-84875df7fc-52vz8-4-24254843-0,22:11:22,22:27:29.160000,5094.0,965.1209716797,19.0011413472,경기도,파주시,3,22,23,17.0
router-84875df7fc-scxcj-1-5642755-0,10:07:26,10:30:21.471000,12429.0,1374.2740478516,32.5585716109,서울특별시,강남구,3,10,23,51.0
router-84875df7fc-52vz8-6-67031826-0,09:03:43,09:15:30.027000,9165.0,707.5789794922,46.6294236492,서울특별시,마포구,3,9,30,11.0
router-84875df7fc-8n4sw-7-70587760-0,17:23:55,17:35:22.261000,14661.0,687.1719970703,76.8069715079,경기도,이천시,0,17,27,3.0
router-84875df7fc-scxcj-5-10801986-0,14:38:09,14:51:33.084000,5957.0,804.4520263672,26.6581465359,경기도,파주시,0,14,27,22.0
router-84875df7fc-scxcj-6-13130499-0,20:41:22,20:49:34.870000,3544.0,491.5109863281,25.9575072682,경기도,용인시 기흥구,3,20,23,11.0
router-84875df7fc-52vz8-6-45747726-1,07:54:38,08:25:51.184000,13955.0,1869.3349609375,26.8747982838,경기도,수원시 권선구,0,7,20,19.0
router-84875df7fc-52vz8-6-63116582-0,11:06:57,11:17:46.384000,4350.0,647.3400268555,24.1913049562,경기도,성남시 중원구,1,11,28,8.0
router-84875df7fc-cmkz9-2-9546890-0,16:15:42,16:27:34.296000,6060.0,712.2069702148,30.6315452002,경기도,성남시 분당구,0,16,27,17.0
router-84875df7fc-cmkz9-7-48423960-0,09:39:17,09:59:18.012000,6520.0,1200.2690429688,19.5556155826,서울특별시,영등포구,1,9,21,0.0
router-84875df7fc-8n4sw-5-9528178-0,14:13:38,14:38:39.233000,14530.0,1501.0739746094,34.847050102,경기도,남양주시,1,14,28,21.0
router-84875df7fc-b5nxc-3-8242955-1,10:24:24,10:34:29.368000,5841.0,599.8699951172,35.0535952309,경기도,수원시 팔달구,4,10,24,19.0
router-84875df7fc-52vz8-3-16344028-0,08:40:05,09:07:03.830000,5700.0,1620.5,12.6627584079,서울특별시,금천구,1,8,28,43.0
router-84875df7fc-b5nxc-5-10575366-0,09:55:38,10:15:49.166000,3261.0,1208.5560302734,9.7137407832,경기도,부천시,0,9,27,25.0
router-84875df7fc-8n4sw-7-72480276-0,14:17:51,14:32:24.150000,4216.0,860.0059814453,17.6482493465,서울특별시,용산구,1,14,28,30.0
router-84875df7fc-scxcj-6-15455006-0,05:45:35,05:55:41.878000,4790.0,606.5659790039,28.4288941301,경기도,화성시,1,5,28,16.0
router-84875df7fc-scxcj-1-6813820-0,08:39:08,08:48:36.183000,4513.0,567.1450195312,28.6466414065,서울특별시,금천구,1,8,28,15.0
router-84875df7fc-b5nxc-7-30295294-0,10:45:02,11:02:37.346000,8540.0,1052.7409667969,29.2037651898,경기도,고양시 일산동구,3,10,30,22.0
router-84875df7fc-8n4sw-4-13133547-0,07:15:10,08:02:10.814000,10035.0,2817.875,12.8202989842,경기도,구리시,0,7,27,18.0
router-84875df7fc-scxcj-2-7972730-0,17:05:16,17:30:13.458000,4874.0,1488.6020507812,11.787166349,서울특별시,구로구,3,17,23,23.0
router-84875df7fc-b5nxc-4-50217263-0,17:54:39,17:56:48.783000,3026.0,129.2729949951,84.2681799119,경기도,구리시,0,17,20,0.0
router-84875df7fc-b5nxc-4-56591072-0,13:28:50,13:31:57.889000,6329.0,187.0440063477,121.8130452021,경기도,용인시 기흥구,3,13,23,0.0
router-84875df7fc-52vz8-1-9204259-0,12:03:47,12:19:27.385000,11225.0,938.9970092773,43.0352808377,경기도,화성시,1,12,28,10.0
router-84875df7fc-scxcj-3-27996472-0,07:44:45,08:04:46.709000,4447.0,1200.2010498047,13.3387652032,서울특별시,성북구,1,7,28,39.0
router-84875df7fc-8n4sw-7-77383338-0,14:05:09,14:18:54.336000,5193.0,824.5650024414,22.6723180642,경기도,용인시 기흥구,3,14,30,52.0
router-84875df7fc-8n4sw-3-9095839-0,10:26:06,10:38:51.416000,7185.0,764.0020141602,33.8559316868,-,서초구,2,10,29,24.0
router-84875df7fc-cmkz9-1-9521485-0,14:39:02,14:44:43.024000,3335.0,339.7529907227,35.337437279,경기도,고양시 일산동구,2,14,29,4.0
router-84875df7fc-scxcj-7-52433278-0,23:02:16,23:15:55.949000,7504.0,819.4520263672,32.9664204014,경기도,고양시 덕양구,1,23,21,22.0
router-84875df7fc-8n4sw-4-10587730-0,17:42:30,18:00:41.184000,6595.0,1090.2189941406,21.7772760588,경기도,광명시,1,17,21,19.0
router-84875df7fc-scxcj-7-58676661-0,16:48:48,17:18:25.764000,8827.0,1778.0169677734,17.8722703866,서울특별시,서초구,4,16,24,47.0
router-84875df7fc-52vz8-5-7800920-0,09:55:56,10:09:15.453000,9785.0,793.8419799805,44.3740705182,서울특별시,송파구,2,9,22,0.0
router-84875df7fc-52vz8-2-7183661-0,15:39:08,15:51:18.372000,3700.0,730.4940185547,18.234235547,경기도,고양시 덕양구,1,15,21,24.0
router-84875df7fc-52vz8-3-13583208-0,11:32:22,11:42:23.096000,4557.0,600.4580078125,27.321144504,경기도,성남시 수정구,3,11,23,0.0
router-84875df7fc-8n4sw-3-8690669-0,18:40:20,18:53:54.178000,9880.0,814.7440185547,43.6554294232,경기도,파주시,0,18,27,7.0
router-84875df7fc-52vz8-6-63702154-0,15:10:05,15:24:10.547000,4991.0,843.5560302734,21.2998299522,서울특별시,마포구,1,15,28,19.0
router-84875df7fc-8n4sw-0-5189265-0,09:25:47,09:38:43.959000,5724.0,777.7760009766,26.4940033816,서울특별시,양천구,3,9,23,9.0
router-84875df7fc-8n4sw-4-11161240-0,03:12:24,03:23:42.838000,5939.0,677.5919799805,31.5535021542,경기도,화성시,3,3,23,9.0
router-84875df7fc-52vz8-0-6398164-0,07:20:00,07:30:00.101000,4534.0,600.3980102539,27.1859661778,경기도,성남시 수정구,3,7,23,7.0
router-84875df7fc-scxcj-7-52761092-0,07:36:33,07:45:19.160000,4665.0,523.757019043,32.0644867551,서울특별시,영등포구,2,7,22,11.0
router-84875df7fc-b5nxc-4-55936037-0,09:00:02,09:14:21.061000,12296.0,857.125,51.6442759224,서울특별시,광진구,3,9,23,4.0
router-84875df7fc-scxcj-7-69332465-0,07:33:35,07:53:02.788000,10576.0,1165.9310302734,32.6551048145,경기도,하남시,2,7,29,39.0
router-84875df7fc-8n4sw-6-23456219-0,08:17:46,08:36:40.084000,8745.0,1133.8969726562,27.7644272444,서울특별시,용산구,3,8,23,41.0
router-84875df7fc-52vz8-4-28130975-0,17:28:04,17:52:31.764000,4090.0,1467.4239501953,10.0339101035,서울특별시,종로구,0,17,27,39.0
router-84875df7fc-cmkz9-3-9254615-0,11:16:18,11:31:08.777000,10022.0,888.4849853516,40.6075517255,경기도,이천시,2,11,29,17.0
router-84875df7fc-scxcj-7-57428022-0,08:29:28,08:44:28.402000,3289.0,900.383972168,13.1503895738,서울특별시,양천구,4,8,24,23.0
router-84875df7fc-52vz8-6-51813643-0,05:40:48,05:50:22.268000,5142.0,573.5949707031,32.2722494887,서울특별시,양천구,3,5,23,5.0
router-84875df7fc-8n4sw-6-23232353-0,20:27:51,20:38:38.507000,4405.0,647.8109741211,24.4793630141,경기도,용인시 수지구,2,20,22,23.0
router-84875df7fc-b5nxc-0-6087345-0,15:02:11,15:13:30.306000,9859.0,674.5809936523,52.6139934774,경기도,남양주시,0,15,27,8.0
router-84875df7fc-cmkz9-2-10305407-0,06:37:04,06:52:06.602000,6178.0,900.2899780273,24.7040404123,서울특별시,노원구,3,6,30,2.0
router-84875df7fc-scxcj-1-6993546-0,21:24:42,21:51:56.186000,13633.0,1629.9720458984,30.1102096343,서울특별시,관악구,1,21,28,33.0
router-84875df7fc-cmkz9-6-11464322-0,10:54:04,11:16:21.149000,9455.0,1331.2290039062,25.5688539689,경기도,수원시 팔달구,0,10,20,22.0
router-84875df7fc-8n4sw-7-55471948-0,18:22:58,19:00:35.758000,13464.0,2257.9389648438,21.4666564308,경기도,성남시 분당구,1,18,21,33.0
router-84875df7fc-scxcj-7-65499285-0,12:58:20,13:05:57.265000,4694.0,456.299987793,37.0335315627,서울특별시,영등포구,0,12,27,2.0
router-84875df7fc-8n4sw-7-72536369-0,14:37:04,14:46:40.189000,5352.0,572.8209838867,33.6356393044,경기도,파주시,1,14,28,20.0
router-84875df7fc-cmkz9-7-63557771-0,22:23:12,22:48:30.191000,14186.0,1516.4289550781,33.6775421156,경기도,수원시 권선구,0,22,27,43.0
router-84875df7fc-b5nxc-0-6389384-0,09:29:15,09:47:55.786000,12236.0,1120.5720214844,39.3099231066,경기도,양주시,2,9,29,53.0
router-84875df7fc-cmkz9-4-25245831-0,18:48:07,19:10:18.406000,14378.0,1331.1590576172,38.8840084164,서울특별시,중랑구,3,18,23,6.0
router-84875df7fc-b5nxc-4-53948249-0,11:18:57,11:48:57.500000,7306.0,1800.4840087891,14.6080719804,경기도,성남시 수정구,2,11,22,0.0
router-84875df7fc-52vz8-4-31530961-0,08:27:27,08:39:38.013000,3321.0,729.7340087891,16.3835039288,서울특별시,성북구,4,8,31,12.0
router-84875df7fc-cmkz9-7-52617950-0,07:57:57,08:22:55.824000,9374.0,1500.3740234375,22.4919916453,경기도,남양주시,3,7,23,4.0
router-84875df7fc-b5nxc-4-66069245-0,11:19:08,11:53:32.165000,13137.0,2063.2241210938,22.9219887052,서울특별시,서초구,0,11,27,31.0
router-84875df7fc-b5nxc-2-7284887-0,21:09:00,21:15:27.111000,3801.0,386.066986084,35.4435900847,경기도,부천시,2,21,22,3.0
router-84875df7fc-cmkz9-7-68489916-0,09:58:30,10:18:19.196000,7404.0,1186.2020263672,22.4703713259,서울특별시,강동구,3,9,30,31.0
router-84875df7fc-8n4sw-7-75649450-0,18:33:28,19:06:27.170000,13099.0,1977.4100341797,23.8475577573,서울특별시,강서구,2,18,29,42.0
router-84875df7fc-52vz8-6-46935639-0,17:10:23,17:20:32.736000,4006.0,600.1350097656,24.0305927255,경기도,김포시,0,17,20,15.0
router-84875df7fc-b5nxc-4-70894195-0,12:42:41,12:52:19.123000,6133.0,577.0830078125,38.2593140001,경기도,남양주시,2,12,29,25.0
router-84875df7fc-scxcj-6-12785000-0,10:03:00,10:26:26.118000,4971.0,1405.5810546875,12.7318164544,서울특별시,관악구,3,10,23,25.0
router-84875df7fc-b5nxc-3-10206082-0,04:23:40,04:30:30.775000,10011.0,410.158996582,87.8673887452,경기도,안성시,3,4,30,0.0
router-84875df7fc-scxcj-7-65019625-0,09:45:28,09:56:57.859000,9174.0,689.1019897461,47.9267227369,경기도,용인시 처인구,0,9,27,22.0
router-84875df7fc-b5nxc-3-8246685-0,10:34:52,10:42:55.407000,3175.0,484.4930114746,23.591671560400002,경기도,용인시 기흥구,4,10,24,13.0
router-84875df7fc-scxcj-2-9402217-0,19:17:03,19:24:56.073000,4283.0,472.4530029297,32.6356270452,서울특별시,성동구,0,19,27,8.0
router-84875df7fc-scxcj-5-12203451-0,10:19:31,10:34:56.447000,8280.0,924.4299926758,32.2447348487,경기도,안산시 단원구,4,10,31,15.0
router-84875df7fc-52vz8-6-54144378-0,09:30:52,09:44:02.526000,8655.0,785.1270141602,39.6852986053,경기도,파주시,4,9,24,11.0
router-84875df7fc-52vz8-6-50149198-0,10:11:06,10:31:24.602000,11365.0,1219.6120605469,33.5467328698,경기도,남양주시,2,10,22,42.0
router-84875df7fc-cmkz9-3-8704194-0,12:50:54,13:33:44.158000,12083.0,2568.8950195312,16.9328834652,서울특별시,구로구,0,12,27,38.0
router-84875df7fc-8n4sw-3-8937545-0,16:40:15,16:50:51.165000,7893.0,634.9920043945,44.7482799836,경기도,양주시,1,16,28,5.0
router-84875df7fc-scxcj-3-28394651-0,14:25:51,14:35:42.064000,4573.0,591.0230102539,27.8547530542,경기도,남양주시,1,14,28,11.0
router-84875df7fc-b5nxc-2-8793636-0,16:27:01,17:09:43.872000,10747.0,2540.8540039062,15.2268489022,서울특별시,종로구,0,16,27,63.0
router-84875df7fc-8n4sw-4-11168033-0,04:48:09,05:02:58.126000,6529.0,876.3300170898,26.8214023731,경기도,양주시,3,4,23,26.0
router-84875df7fc-52vz8-7-8891798-0,13:35:36,13:58:09.302000,11759.0,1339.3740234375,31.6061079723,경기도,시흥시,1,13,21,19.0
router-84875df7fc-cmkz9-4-29196988-0,13:03:00,13:25:25.283000,12273.0,1343.6180419922,32.8834524539,경기도,성남시 분당구,0,13,27,25.0
router-84875df7fc-scxcj-7-68000489-0,14:26:27,14:44:01.816000,10876.0,1056.0030517578,37.0771655771,경기도,용인시 처인구,1,14,28,21.0
router-84875df7fc-cmkz9-7-50357720-0,06:52:23,07:07:51.115000,8299.0,927.450012207,32.2134881738,서울특별시,강동구,2,6,22,23.0
